Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-580.6614174183527,nan,0,0.99
100,-101.59656211615354,-580.6614174183527,3.182661294937134,2,0.9702989999999999
200,-201.56776793233385,-580.6614174183527,-15.740240871459246,3,0.96059601
300,-175.50472690684012,-580.6614174183527,-39.06818893432617,4,0.9509900498999999
400,-210.82813070450874,-580.6614174183527,-39.21860374450684,5,0.9414801494009999
500,-196.1648662145859,-432.1661574948236,-39.81336864471436,6,0.9320653479069899
600,-200.8382132808903,-432.1661574948236,90.5865714263916,7,0.92274469442792
700,-207.78776445825875,-432.1661574948236,90.64812187194825,8,0.9135172474836407
800,-193.3236698489129,-432.1661574948236,90.89862243652344,9,0.9043820750088043
900,-194.8401934837924,-432.1661574948236,90.9402392578125,11,0.8863848717161291
1000,-186.00626166177753,-158.4581505243495,90.37117416381835,12,0.8775210229989678
1100,-176.0222196282337,-158.4581505243495,93.94300415039062,13,0.8687458127689781
1200,-170.70352502411055,-158.4581505243495,94.08494010925293,14,0.8600583546412883
1300,-159.06108570258422,-158.4581505243495,93.36672454833985,16,0.8429431933839266
1400,-159.06108570258422,-158.4581505243495,93.83281219482421,16,0.8429431933839266
1500,-160.9787212124437,-104.98240871167391,93.29509864807129,17,0.8345137614500874
1600,-143.83717463912683,-104.98240871167391,93.40252456665038,19,0.8179069375972307
1700,-142.89036722062113,-104.98240871167391,92.76314926147461,20,0.8097278682212583
1800,-146.85757863650616,-104.98240871167391,93.42660697937012,21,0.8016305895390458
1900,-144.31733106450025,-104.98240871167391,92.58128654479981,22,0.7936142836436553
2000,-131.59725753941265,-23.407987758195066,92.5875260925293,23,0.7856781408072188
2100,-129.05620968765209,-23.407987758195066,90.51970756530761,24,0.7778213593991465
2200,-121.30440186621425,-23.407987758195066,90.64938232421875,25,0.7700431458051551
2300,-117.37038078364608,-23.407987758195066,90.23903953552247,26,0.7623427143471035
2400,-108.2254176687056,-23.407987758195066,89.84707290649413,27,0.7547192872036325
2500,-108.2254176687056,-89.8654259147672,90.08901725769043,27,0.7547192872036325
2600,-99.48622574926084,-89.8654259147672,88.34436233520508,29,0.7397003733882802
2700,-85.21367448686115,-89.8654259147672,86.49670318603516,30,0.7323033696543974
