Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-522.5068326638489,nan,0,0.99
100,-281.56312243249624,-522.5068326638489,5.0529680252075195,2,0.9702989999999999
200,-247.9595462316689,-522.5068326638489,6.028910231590271,4,0.9509900498999999
300,-224.89011548158797,-522.5068326638489,4.713083183765411,5,0.9414801494009999
400,-210.00535212725015,-522.5068326638489,4.202389998435974,6,0.9320653479069899
500,-200.0469551016838,-647.481505712212,3.359002696275711,7,0.92274469442792
600,-202.81102233750892,-647.481505712212,3.2580033433437348,8,0.9135172474836407
700,-216.59061665904864,-647.481505712212,3.073245507478714,10,0.8953382542587163
800,-216.59061665904864,-647.481505712212,3.2840695893764495,10,0.8953382542587163
900,-227.264452358182,-647.481505712212,3.118761786222458,11,0.8863848717161291
1000,-233.77864007026605,-888.2981943277122,3.14631741464138,12,0.8775210229989678
1100,-233.88749544221238,-888.2981943277122,2.868643077611923,13,0.8687458127689781
1200,-230.19981759449487,-888.2981943277122,3.0516087508201597,15,0.8514577710948754
1300,-222.74211339275013,-888.2981943277122,2.9145135259628296,16,0.8429431933839266
1400,-215.27960341087677,-888.2981943277122,2.920295161008835,17,0.8345137614500874
1500,-203.82113938976372,-557.9560413346405,2.454447317123413,19,0.8179069375972307
1600,-212.31662424453984,-557.9560413346405,3.0442875730991363,21,0.8016305895390458
1700,-197.58084187824386,-557.9560413346405,3.2336865639686585,22,0.7936142836436553
1800,-185.13885936306457,-557.9560413346405,3.0174649953842163,23,0.7856781408072188
1900,-183.2579697284857,-557.9560413346405,2.5168008249998093,25,0.7700431458051551
2000,-183.2579697284857,-462.45003267071945,3.2655941981077192,25,0.7700431458051551
2100,-206.25693558152793,-462.45003267071945,2.9813913011550905,27,0.7547192872036325
2200,-201.13134039535842,-462.45003267071945,3.097521035671234,28,0.7471720943315961
2300,-194.3677694965122,-462.45003267071945,2.9266778832674025,29,0.7397003733882802
2400,-182.04369454411156,-462.45003267071945,2.978865201473236,31,0.7249803359578534
2500,-182.04369454411156,-644.3228700039074,2.8229761803150177,31,0.7249803359578534
2600,-166.06061677098063,-644.3228700039074,2.8082352578639984,33,0.7105532272722921
2700,-155.7204491019217,-644.3228700039074,3.010283237695694,34,0.7034476949995692
2800,-158.5980813071943,-644.3228700039074,2.8542359417676924,35,0.6964132180495735
2900,-157.62879722212062,-644.3228700039074,3.053406341075897,36,0.6894490858690777
