Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-514.2786999644893,nan,0,0.99
100,-102.78769081863203,-514.2786999644893,1.424870491027832,1,0.9801
200,-239.06714256433511,-514.2786999644893,1.4998405855894088,3,0.96059601
300,-254.7334922870305,-514.2786999644893,1.6555997014045716,4,0.9509900498999999
400,-220.83169250597444,-514.2786999644893,2.2202317583560944,5,0.9414801494009999
500,-200.38023863019183,-150.63358892881075,2.2410258150100706,6,0.9320653479069899
600,-193.42165962643622,-150.63358892881075,2.6175400376319886,7,0.92274469442792
700,-183.76203345818035,-150.63358892881075,2.5728802716732027,8,0.9135172474836407
800,-168.59462524288008,-150.63358892881075,2.4114177519083024,10,0.8953382542587163
900,-182.48449225108095,-150.63358892881075,2.715329220890999,11,0.8863848717161291
1000,-187.07909277204735,-192.22216868645697,3.056573032438755,12,0.8775210229989678
1100,-184.9538301829864,-192.22216868645697,2.8249779173731806,14,0.8600583546412883
1200,-184.9538301829864,-192.22216868645697,2.6762769639492037,14,0.8600583546412883
1300,-167.8539428376177,-192.22216868645697,2.5183716160058975,16,0.8429431933839266
1400,-167.8539428376177,-192.22216868645697,2.4381004574894907,16,0.8429431933839266
1500,-167.9339469000491,-314.9840109048953,2.5231571701169013,17,0.8345137614500874
1600,-158.5051864454559,-314.9840109048953,2.1821417447924616,19,0.8179069375972307
1700,-159.2387319741873,-314.9840109048953,2.058039113879204,20,0.8097278682212583
1800,-159.2387319741873,-314.9840109048953,1.9776230722665786,20,0.8097278682212583
1900,-159.50143532081077,-314.9840109048953,2.18560310959816,21,0.8016305895390458
2000,-144.94706207866741,-269.766380490729,2.166836404502392,22,0.7936142836436553
2100,-134.7817223499813,-269.766380490729,2.3888044643402098,23,0.7856781408072188
2200,-122.02262914934741,-269.766380490729,2.1170006120204925,25,0.7700431458051551
2300,-122.08181236352853,-269.766380490729,2.1379694789648056,26,0.7623427143471035
2400,-127.63569443168853,-269.766380490729,2.1875579065084456,27,0.7547192872036325
2500,-127.63569443168853,-148.66229845239857,2.112995307445526,27,0.7547192872036325
2600,-131.29605940052392,-148.66229845239857,2.0313794669508933,28,0.7471720943315961
2700,-131.55964209513144,-148.66229845239857,2.1823013359308243,29,0.7397003733882802
2800,-127.46217347221045,-148.66229845239857,2.018758955001831,30,0.7323033696543974
2900,-127.46217347221045,-148.66229845239857,1.972116985321045,30,0.7323033696543974
3000,-118.52879291259929,-172.32904814048192,2.175553605556488,31,0.7249803359578534
3100,-116.81431514994335,-172.32904814048192,1.91392121180892,33,0.7105532272722921
3200,-106.27781430999232,-172.32904814048192,1.852638358026743,34,0.7034476949995692
3300,-109.16999173208137,-172.32904814048192,1.9394416666030885,35,0.6964132180495735
3400,-111.79249839626073,-172.32904814048192,2.1712624138593672,36,0.6894490858690777
3500,-111.79249839626073,-220.2051528932631,1.7363706618547439,36,0.6894490858690777
3600,-105.45536164684333,-220.2051528932631,2.0634636133909225,38,0.6757290490602831
3700,-105.45536164684333,-220.2051528932631,2.1047214663028715,38,0.6757290490602831
3800,-108.19232483073328,-220.2051528932631,1.874703522026539,39,0.6689717585696803
3900,-99.88664524610786,-220.2051528932631,2.179407777786255,41,0.6556592205741436
4000,-99.88664524610786,-178.898712332051,1.8920724719762803,41,0.6556592205741436
4100,-103.5049672543347,-178.898712332051,1.930482683777809,42,0.6491026283684022
4200,-104.26861656367723,-178.898712332051,1.9767386829853058,43,0.6426116020847181
4300,-102.87661707864086,-178.898712332051,1.7420783758163452,44,0.6361854860638709
4400,-102.87661707864086,-178.898712332051,1.7458670794963838,44,0.6361854860638709
4500,-104.88650336081885,-126.21008050093315,1.8675396421551704,45,0.6298236312032323
4600,-99.31369046597034,-126.21008050093315,2.078537681698799,46,0.6235253948912
4700,-96.2650108550113,-126.21008050093315,1.7707262194156648,47,0.617290140942288
4800,-88.8942827616349,-126.21008050093315,1.6711446186900138,48,0.6111172395328651
4900,-88.8942827616349,-126.21008050093315,1.7455549508333206,48,0.6111172395328651
5000,-83.34953598061658,-188.69585170426717,1.634431884214282,49,0.6050060671375365
5100,-79.76697739907422,-188.69585170426717,1.757446874976158,50,0.5989560064661611
5200,-75.93315368388653,-188.69585170426717,1.647172023653984,51,0.5929664464014994
5300,-74.50707931999656,-188.69585170426717,1.6241927149891853,52,0.5870367819374844
5400,-74.10726851018207,-188.69585170426717,1.7273090821504593,53,0.5811664141181095
